feature,importance
rooms_sentiment,0.099703416
staff_sentiment,0.09390177
cleanliness_sentiment,0.08921258
rooms_present,0.07322336
review_year,0.045005936
breakfast_sentiment,0.040262476
noise_sentiment,0.037521295
business_facilities_sentiment,0.034431476
location_sentiment,0.033430014
parking_sentiment,0.031198326
business_facilities_present,0.028812958
staff_present,0.028450428
transportation_sentiment,0.02828634
wifi_sentiment,0.02667048
transportation_present,0.025788296
restaurant_sentiment,0.025778646
pool_sentiment,0.02546311
location_present,0.025115844
restaurant_present,0.023601593
parking_present,0.021828657
cleanliness_present,0.021476638
spa_sentiment,0.021025062
wifi_present,0.020789975
gym_sentiment,0.019912917
noise_present,0.018244678
gym_present,0.017965496
pool_present,0.014788863
spa_present,0.01421162
breakfast_present,0.013897801
